a47,a3,a2,a18,a5,a4,a46,a14,a45,a30,Class
3,326.65,0.0,3,1,2,4,50.499508,0.0,0.0,0
119,291475.3,6778.5,44,43,0,270,0.0,2.0,2.0,0
15,1026242.37,3379.09,393,156,237,278,13.877436,53.0,55.0,0
3,55.38,0.0,2,1,1,4,25.397755,0.0,0.0,0
3,316.65,0.0,3,1,2,4,50.499508,0.0,0.0,0
3,331.1,2.01,4,2,2,4,50.499487,0.0,0.0,0
336,1542761.22,25559.0,115,55,60,210,70.81473,2.0,2.0,0
3,9.2,0.0,2,1,1,4,2.079566,0.0,0.0,0
3,2597.05,217.41,5,3,2,4,17.07099,0.0,0.0,0
308,193608.57,1626.96,120,119,0,270,0.0,1.0,1.0,0
401,990952.88,3911.93,228,219,9,154,10.800196,14.0,14.0,0
11,298210.97,3274.75,172,91,81,270,17.338454,1.0,1.0,0
3,326.93,0.02,4,2,2,4,50.499487,0.0,0.0,0
25,321526.67,22252.64,23,10,13,23,0.06692,5.0,5.0,0
3,73.22,0.33,5,2,3,4,33.666149,0.0,0.0,0
3,629558.2,8980.9,140,70,70,4,0.245862,0.0,0.0,0
3,99.67,0.0,4,1,3,4,33.666163,0.0,0.0,0
3,25653.48,25.46,1992,894,1098,4,0.628947,0.0,0.0,0
308,158290.03,7067.61,33,19,14,270,0.880469,1.0,1.0,0
3,255.4,0.0,2,1,1,4,1.99938,0.0,0.0,0
11,259401.85,9500.64,27,17,10,270,88.1577,1.0,1.0,0
3,12.98,0.0,2,1,1,4,21.99938,0.0,0.0,0
321,982742.9,1581.87,561,160,401,200,1.302397,111.0,113.0,0
3,7.57,0.0,4,1,3,4,141.080821,0.0,0.0,0
119,226784.0,1799.87,127,126,0,270,0.0,2.0,2.0,0
3,7.87,0.0,2,1,1,4,0.99938,0.0,0.0,0
3,46.37,0.0,3,1,2,4,50.499475,0.0,0.0,0
3,796393.9,517.6,2904,1497,1407,4,0.104006,0.0,0.0,0
413,37944.27,117.11,325,324,0,250,0.0,0.0,0.0,0
3,180.02,0.0,2,1,1,4,0.110062,0.0,0.0,0
436,38489.35,0.0,3,1,2,270,3.505,6.0,6.0,0
3,327.37,1.02,4,2,2,4,50.499487,0.0,0.0,0
3,341695.82,170813.83,5,2,3,4,35.165551,0.0,0.0,0
3,310.83,0.0,3,1,2,4,50.499286,0.0,0.0,0
260,883783.62,1612.27,1069,536,533,270,1.68018,2.0,2.0,0
317,995280.68,7387.31,42,10,32,162,0.174141,52.0,53.0,0
119,200110.12,1429.36,141,140,0,270,0.0,2.0,2.0,0
3,615209.03,33817.19,32,18,14,4,0.203618,0.0,0.0,0
3,642143.43,3285.9,372,188,184,4,1.144663,0.0,0.0,0
3,326.97,0.82,5,2,3,4,33.666143,0.0,0.0,0
3,2350.32,0.0,2,1,1,4,0.259546,0.0,0.0,0
308,563551.12,2545.19,214,124,90,189,1.915083,1.0,1.0,0
3,1547.22,290.3,4,2,2,4,1.2295,0.0,0.0,0
226,260605.87,0.0,2,1,1,270,0.299559,4.0,4.0,0
119,319309.53,2086.99,154,153,0,270,0.0,2.0,2.0,0
3,674.95,0.0,2,1,1,4,2.99938,0.0,0.0,0
119,226788.17,1972.07,116,115,0,270,0.0,2.0,2.0,0
3,51.95,0.0,2,1,1,4,0.097055,0.0,0.0,0
436,4330.22,889.07,5,4,1,270,0.037635,7.0,7.0,0
361,265214.08,88046.23,6,3,3,230,3.66752,2.0,2.0,0
308,201114.6,1764.16,115,114,0,270,0.0,1.0,1.0,0
223,130590.05,37937.2,9,3,6,123,0.020195,2.0,2.0,0
308,803589.3,66237.99,23,12,11,270,97.553795,3.0,3.0,0
401,776995.78,9775.97,87,76,11,270,0.859318,15.0,15.0,0
401,1256144.62,1475.2,1664,835,829,270,1.01196,2.0,2.0,0
3,68.37,0.0,4,1,3,4,33.666149,0.0,0.0,0
3,1339.3,663.87,3,2,1,4,2.059331,0.0,0.0,0
119,319318.58,2494.68,129,128,0,270,0.0,4.0,4.0,0
401,843756.35,1290.23,1149,636,513,270,1.031778,8.0,8.0,0
47,88347.02,9816.34,10,9,0,270,0.0,1.0,1.0,0
3,13.15,0.0,5,2,3,4,666.999528,0.0,0.0,0
3,15.1,0.35,5,2,3,4,666.999528,0.0,0.0,0
401,906247.85,2085.1,831,423,408,270,1.02948,2.0,2.0,0
3,324.73,3.52,4,2,2,4,50.499487,0.0,0.0,0
158,87988.67,8.8,10000,9999,0,294,0.0,20.0,20.0,0
64,251870.42,5200.14,49,8,40,101,0.481025,15.0,16.0,0
353,141805.97,2502.34,89,28,61,223,2.867707,13.0,13.0,0
465,394304.23,3597.93,217,109,108,270,1.314447,1.0,1.0,0
3,501071.13,0.0,4,1,3,4,2.270125,0.0,0.0,0
436,60237.23,30118.62,2,2,0,270,0.0,6.0,6.0,0
3,102140.12,25532.58,8,4,4,4,5.528362,0.0,0.0,0
457,980145.68,3641.5,225,50,175,98,0.838803,103.0,106.0,0
3,3391.85,1682.52,4,2,2,4,3.376883,0.0,0.0,0
3,9994.67,2496.45,8,4,4,4,1.249517,0.0,0.0,0
3,191451.85,31900.45,11,6,5,4,1.200484,0.0,0.0,0
3,7270.62,1358.31,7,4,3,4,1.559748,0.0,0.0,0
465,399864.47,2162.14,367,184,183,270,0.137749,1.0,1.0,0
3,4.17,0.0,2,1,1,4,1.098565,0.0,0.0,0
3,1284742.27,3394.1,744,374,370,4,0.899356,0.0,0.0,0
3,3.92,0.0,3,1,2,4,49.181332,0.0,0.0,0
203,386465.55,123369.2,4,3,1,270,0.4,13.0,13.0,0
401,601025.25,16271.2,37,36,1,270,3.5,13.0,13.0,0
308,190001.52,4415.2,42,26,16,270,0.814544,2.0,2.0,0
3,62320.25,7786.06,16,8,8,4,12.764665,0.0,0.0,0
308,41008.07,0.0,2,1,1,270,4.99874,1.0,1.0,0
3,6.23,0.01,48,45,3,4,666.999528,0.0,0.0,0
3,322.35,0.69,4,2,2,4,50.499508,0.0,0.0,0
3,209176.72,6741.16,60,31,29,4,0.002308,0.0,0.0,0
308,100474.43,5910.26,18,17,0,270,0.0,1.0,1.0,0
308,42393.82,0.0,2,1,1,270,1.548403,1.0,1.0,0
3,408137.83,5911.94,137,69,68,4,0.264,0.0,0.0,0
3,113631.18,16228.62,11,7,4,4,2.556959,0.0,0.0,0
3,314.92,0.0,3,1,2,4,50.499508,0.0,0.0,0
3,322.95,0.3,4,2,2,4,50.499508,0.0,0.0,0
